,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GERMANY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,brandenburg_gun_279_x1,0.18,0.26,0.92,3.2,,2,friedrich_gun_228_x1,0.205,0.305,0.92,3.06,,2,friedrich_gun_305_x1,0.18,0.26,0.92,2.62,,2,vdt_gun_280_x1,0.205,0.305,0.92,2.3,,2,vdt_gun_200_x1,0.235,0.34,0.92,2.74,,2/52,spee_gun_var_280_x1,0.21,0.31,0.92,2.6,,2,bismarck_gun_b_150_x1,0.35,0.425,0.92,2.75,,2,spee_gun_150_x1,0.35,0.515,0.92,2.7,,2/54,spee_gun_280_x1_a,0.21,0.31,0.92,2.7,,2,bismarck_gun_150_x1,0.35,0.425,0.92,2.75,,2,bismarck_gun_105_x1,0.4,0.59,0.92,2.75,,2,bismarck_gun_380_x1,0.18,0.26,0.92,2.06,,2,bismarck_gun_380_short_x1,0.18,0.92,0.92,,,,SINGLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,brandenburg_gun_279_x2,0.18,0.26,0.7,3.2,,2,friedrich_gun_228_x2,0.205,0.305,0.7,3.06,,2,friedrich_gun_305_x2,0.18,0.26,0.7,2.62,,2,vdt_gun_280_x2,0.205,0.305,0.7,2.3,,2,vdt_gun_200_x2,0.235,0.34,0.7,2.74,,2/52,spee_gun_var_280_x2,0.21,0.31,0.7,2.6,,2,bismarck_gun_b_150_x2,0.35,0.425,0.7,2.75,,2,spee_gun_150_x2,0.35,0.515,0.7,2.7,,2/54,spee_gun_280_x2_a,0.21,0.31,0.7,2.7,,2,bismarck_gun_150_x2,0.35,0.425,0.7,2.75,,2,bismarck_gun_105_x2,0.4,0.59,0.7,2.75,,2,bismarck_gun_380_x2,0.18,0.26,0.7,2.06,,2,bismarck_gun_380_short_x2,0.18,0.7,0.7,,,2,brandenburg_gun_76_x1,0.38,0.56,0.66,2.48,,2,dd_s_gun_c_102_x1,0.38,0.56,0.66,2.48,,2/40,dd_s_gun_d_102_x1,0.4,0.58,0.66,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,brandenburg_gun_279_x3,0.18,0.26,0.55,1.78,,2,friedrich_gun_228_x3,0.205,0.305,0.55,3.06,,2,friedrich_gun_305_x3,0.18,0.26,0.55,2.62,,2,vdt_gun_280_x3,0.205,0.305,0.55,2.3,,2,,,,0.55,,,2/52,spee_gun_var_280_x3,0.21,0.31,0.55,2.6,,2,bismarck_gun_b_150_x3,0.35,0.425,0.55,2.75,,2,spee_gun_150_x3,0.35,0.515,0.55,2.7,,2/54,spee_gun_280_x3_a,0.21,0.31,0.55,2.7,,2,bismarck_gun_150_x3,0.35,0.425,0.55,2.75,,2,bismarck_gun_105_x3,0.4,0.59,0.55,2.75,,2,bismarck_gun_380_x3,0.18,0.26,0.55,2.06,,2,bismarck_gun_380_short_x3,0.18,0.55,0.55,,,3,brandenburg_gun_76_x1,0.57,0.75,1,2.1,,3,dd_s_gun_c_102_x1,0.57,0.75,1,2.1,,3/40,dd_s_gun_d_102_x1,0.6,0.78,1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,,,,,,,0.5,,,,,,,0.5,,,2,vdt_gun_280_x4,0.205,0.305,0.5,2.3,,,,,,0.5,,,,,,,0.5,,,2,bismarck_gun_b_150_x4,0.35,0.425,0.5,2.75,,,,,,0.5,,,2/54,spee_gun_280_x4_a,0.21,0.31,0.5,2.7,,2,bismarck_gun_150_x4,0.35,0.425,0.5,2.75,,2,bismarck_gun_105_x4,0.4,0.59,0.5,2.75,,2,bismarck_gun_380_x4,0.18,0.26,0.5,2.06,,2,bismarck_gun_380_short_x4,0.18,0.5,0.5,,,4,brandenburg_gun_76_x1,0.76,0.94,1.1,1.74,,4,dd_s_gun_c_102_x1,0.76,0.94,1.1,1.74,,4/40,dd_s_gun_d_102_x1,0.8,0.98,1.1,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,brandenburg_gun_279_x1,0.27,0.35,1.45,2.72,,3,friedrich_gun_228_x1,0.3075,0.4075,1.45,2.58,,3,friedrich_gun_305_x1,0.27,0.35,1.45,2.22,,3,vdt_gun_280_x1,0.3075,0.4075,1.45,1.94,,3,vdt_gun_200_x1,0.3525,0.46,1.45,2.32,,3/52,spee_gun_var_280_x1,0.315,0.415,1.45,2.22,,3,bismarck_gun_b_150_x1,0.475,0.55,1.45,2.575,,3,spee_gun_150_x1,0.525,0.69,1.45,2.3,,3/54,spee_gun_280_x1_a,0.315,0.415,1.45,2.3,,3,bismarck_gun_150_x1,0.475,0.55,1.45,2.575,,3,bismarck_gun_105_x1,0.6,0.79,1.45,2.3,,3,bismarck_gun_380_x1,0.27,0.35,1.45,1.74,,3,bismarck_gun_380_short_x1,0.27,1.45,1.45,,,5,brandenburg_gun_76_x1,0.95,1.13,0.85,1.36,,5,dd_s_gun_c_102_x1,0.95,1.13,0.85,1.36,,5/40,dd_s_gun_d_102_x1,1,1.18,0.85,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,brandenburg_gun_279_x2,0.27,0.35,1.08,2.72,,3,friedrich_gun_228_x2,0.3075,0.4075,1.08,2.58,,3,friedrich_gun_305_x2,0.27,0.35,1.08,2.22,,3,vdt_gun_280_x2,0.3075,0.4075,1.08,1.94,,3,vdt_gun_200_x2,0.3525,0.46,1.08,2.32,,3/52,spee_gun_var_280_x2,0.315,0.415,1.08,2.22,,3,bismarck_gun_b_150_x2,0.475,0.55,1.08,2.575,,3,spee_gun_150_x2,0.525,0.69,1.08,2.3,,3/54,spee_gun_280_x2_a,0.315,0.415,1.08,2.3,,3,bismarck_gun_150_x2,0.475,0.55,1.08,2.575,,3,bismarck_gun_105_x2,0.6,0.79,1.08,2.3,,3,bismarck_gun_380_x2,0.27,0.35,1.08,1.74,,3,bismarck_gun_380_short_x2,0.27,1.08,1.08,,,6,brandenburg_gun_76_x1,1.14,1.32,0.75,1.28,,6,dd_s_gun_c_102_x1,1.14,1.32,0.75,1.28,,6/40,dd_s_gun_d_102_x1,1.2,1.38,0.75,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,brandenburg_gun_279_x3,0.27,0.35,0.83,1.52,,3,friedrich_gun_228_x3,0.3075,0.4075,0.83,2.58,,3,friedrich_gun_305_x3,0.27,0.35,0.83,2.22,,3,vdt_gun_280_x3,0.3075,0.4075,0.83,1.94,,3,,,,0.83,,,3/52,spee_gun_var_280_x3,0.315,0.415,0.83,2.22,,3,bismarck_gun_b_150_x3,0.475,0.55,0.83,2.575,,3,spee_gun_150_x3,0.525,0.69,0.83,2.3,,3/54,spee_gun_280_x3_a,0.315,0.415,0.83,2.3,,3,bismarck_gun_150_x3,0.475,0.55,0.83,2.575,,3,bismarck_gun_105_x3,0.6,0.79,0.83,2.3,,3,bismarck_gun_380_x3,0.27,0.35,0.83,1.74,,3,bismarck_gun_380_short_x3,0.27,0.83,0.83,,,7,brandenburg_gun_76_x1,1.33,1.51,0.8,1.26,,7,dd_s_gun_c_102_x1,1.33,1.51,0.8,1.26,,7/40,dd_s_gun_d_102_x1,1.4,1.58,0.8,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.74,,,,,,,0.74,,,,,,,0.74,,,3,vdt_gun_280_x4,0.3075,0.4075,0.74,1.94,,,,,,0.74,,,,,,,0.74,,,3,bismarck_gun_b_150_x4,0.475,0.55,0.74,2.575,,,,,,0.74,,,3/54,spee_gun_280_x4_a,0.315,0.415,0.74,2.3,,3,bismarck_gun_150_x4,0.475,0.55,0.74,2.575,,3,bismarck_gun_105_x4,0.6,0.79,0.74,2.3,,3,bismarck_gun_380_x4,0.27,0.35,0.74,1.74,,3,bismarck_gun_380_short_x4,0.27,0.74,0.74,,,8,brandenburg_gun_76_x1,1.52,1.7,0.78,1.22,,8,dd_s_gun_c_102_x1,1.52,1.7,0.78,1.22,,8/40,dd_s_gun_d_102_x1,1.6,1.78,0.78,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,brandenburg_gun_279_x1,0.36,0.44,1.7,2.24,,4,friedrich_gun_228_x1,0.41,0.51,1.7,2.16,,4,friedrich_gun_305_x1,0.36,0.44,1.7,1.84,,4,vdt_gun_280_x1,0.41,0.51,1.7,1.6,,4,vdt_gun_200_x1,0.47,0.58,1.7,1.92,,4/52,spee_gun_var_280_x1,0.42,0.52,1.7,1.82,,4,bismarck_gun_b_150_x1,0.6,0.7,1.7,2.23,,4,spee_gun_150_x1,0.7,0.865,1.7,1.9,,4/54,spee_gun_280_x1_a,0.42,0.52,1.7,1.9,,4,bismarck_gun_150_x1,0.6,0.7,1.7,2.23,,4,bismarck_gun_105_x1,0.8,0.99,1.7,1.9,,4,bismarck_gun_380_x1,0.36,0.44,1.7,1.44,,4,bismarck_gun_380_short_x1,0.36,1.7,1.7,,,9,brandenburg_gun_76_x1,1.71,1.89,0.7,1.2,,9,dd_s_gun_c_102_x1,1.71,1.89,0.7,1.2,,9/40,dd_s_gun_d_102_x1,1.8,1.98,0.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
