#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
default,1,,,,,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,,,,,,,,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,brandenburg_gun_76_x1,0.38,0.56,0.66,2.48,jap_tb_gun_76_x1,0.8,1.15,0.66,1.8,spee_gun_150_x1,0.35,0.515,0.92,2.7,pola_gun_100_x1,0.5,0.73,0.92,2.18,iowa_gun_127_x1,0.5,0.72,1,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x2,,51,gun_2_x2,,,maine_gun_152_x2,0.45,0.62,0.7,1.65,maine_gun_230_x2,0.35,0.44,0.7,1.55,spee_gun_150_x2,0.35,0.515,0.7,2.7,pola_gun_100_x2,0.5,0.73,0.7,2.18,iowa_gun_127_x2,0.5,0.72,1,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x3,,51,gun_2_x3,,,maine_gun_152_x3,0.45,0.62,0.55,1.65,maine_gun_230_x3,0.35,0.44,0.55,1.55,spee_gun_150_x3,0.35,0.515,0.55,2.7,pola_gun_100_x3,0.5,0.73,0.55,2.18,iowa_gun_127_x3,0.5,0.72,1,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x4,,51,gun_2_x4,,,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,,,,,,,,,,,,,,,,,,,
gun_3_x1,,76,gun_3_x1,,,brandenburg_gun_76_x1,0.57,0.75,1,2.1,jap_tb_gun_76_x1,1.2,1.55,1,1.52,spee_gun_150_x1,0.525,0.69,1.45,2.3,pola_gun_100_x1,0.75,0.98,1.45,1.84,pola_gun_100_x1,0.75,0.98,1.45,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x2,,76,gun_3_x2,,,maine_gun_152_x2,0.636,0.8,1.08,1.49,maine_gun_230_x2,0.46,0.55,1.08,1.5,spee_gun_150_x2,0.525,0.69,1.08,2.3,pola_gun_100_x2,0.75,0.98,1.08,1.84,pola_gun_100_x2,0.75,0.98,1.08,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x3,,76,gun_3_x3,,,maine_gun_152_x3,0.636,0.8,0.83,1.49,maine_gun_230_x3,0.46,0.55,0.83,1.5,spee_gun_150_x3,0.525,0.69,0.83,2.3,pola_gun_100_x3,0.75,0.98,0.83,1.84,pola_gun_100_x3,0.75,0.98,0.83,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x4,,76,gun_3_x4,,,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,pola_gun_100_x4,0.75,0.98,0.74,1.84,,,,,,,,,,,,,,,,,,,
gun_4_x1,,102,gun_4_x1,,,brandenburg_gun_76_x1,0.76,0.94,1.1,1.74,jap_tb_gun_76_x1,1.6,1.95,1.1,1.26,spee_gun_150_x1,0.7,0.865,1.7,1.9,pola_gun_100_x1,1,1.23,1.7,1.52,atl_gun_125_x1,0.837,0.96,1.7,1.27,,,,,,,,,,,,,,,,,,,
gun_4_x2,,102,gun_4_x2,,,maine_gun_152_x2,0.822,0.99,1.28,1.27,maine_gun_230_x2,0.57,0.66,1.28,1.35,spee_gun_150_x2,0.7,0.865,1.28,1.9,pola_gun_100_x2,1,1.23,1.28,1.52,atl_gun_125_x2,0.837,0.96,1.28,1.27,,,,,,,,,,,,,,,,,,,
gun_4_x3,,102,gun_4_x3,,,maine_gun_152_x3,0.822,0.99,1,1.27,maine_gun_230_x3,0.57,0.66,1,1.35,spee_gun_150_x3,0.7,0.865,1,1.9,pola_gun_100_x3,1,1.23,1,1.52,atl_gun_125_x3,0.837,0.96,1,1.27,,,,,,,,,,,,,,,,,,,
gun_4_x4,,102,gun_4_x4,,,didox_gun_cal133_x4,0.6,0.74,0.85,2.34,didox_gun_cal133_x4,0.6,0.74,0.85,2.34,dido_gun_cal133_x4,0.644,0.75,0.85,1.94,pola_gun_100_x4,1,1.23,0.85,1.52,atl_gun_125_x4,0.837,0.96,0.85,1.27,,,,,,,,,,,,,,,,,,,
