@name,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces
bulgaria,Bulgaria,b_sea,austria,austria,austria,austria,austria,austria,austria,bulgaria,0,colony,3.20000005,10000,-1,1930,5,150,100,7,0450000018,2,"central_balkans, eastern_rumelia, northern_greece, romania, serbia"
eastern_rumelia,Eastern Rumelia,b_sea,greece,greece,greece,greece,greece,greece,greece,bulgaria,0,colony,3.29999995,10000,-1,-1,0,0,0,7,0450000018,2,"bosporus, bulgaria, central_balkans, northern_greece"
ukraine,Ukraine,b_sea,russia,russia,russia,russia,russia,russia,russia,ukraine,1,home,12,90000,-1,1920,5,900,200,7,0299999993,2,"belarus, central_russia, crimaia, eastern_poland, galicia, hungary, moldova, northern_russia, romania, southern_russia"
belarus,Belarus,b_sea,russia,russia,russia,russia,russia,russia,russia,belarus,1,home,8,0,-1,1930,1,100,100,7,0299999993,2,"central_russia, eastern_poland, latvia, lithuania, northern_russia, ukraine"
moldova,Moldova,b_sea,russia,russia,russia,russia,russia,russia,russia,moldova,1,home,2,90000,-1,1930,1,100,100,7,0125000002,2,"romania, ukraine"
georgia,Georgia,b_sea,russia,russia,russia,russia,russia,russia,russia,georgia,1,home,3,90000,-1,1930,1,100,100,7,0125000002,2,"armenia, azerbaijan, eastern_turkey, northern_turkey, southern_russia"
armenia,Armenia,b_sea,russia,russia,russia,russia,russia,russia,russia,armenia,1,home,2,90000,-1,1930,1,110,100,7,0125000002,2,"azerbaijan, eastern_turkey, georgia, persia"
azerbaijan,Azerbaijan,b_sea,russia,russia,russia,russia,russia,russia,russia,azerbaijan,1,home,1.75,90000,-1,1890,100,200,1000,7,0125000002,2,"armenia, georgia, persia, southern_russia"
romania,Romania,b_sea,austria,austria,austria,austria,austria,austria,austria,romania,0,colony,4.4000001,20000,-1,1930,1,100,100,7,0299999993,2,"bulgaria, hungary, moldova, serbia, ukraine"
northern_turkey,Northern Turkey,b_sea,greece,greece,greece,greece,greece,greece,greece,greece,1,home,9,80000,-1,1930,1,150,100,6,0.119999997,2,"bosporus, eastern_turkey, georgia, southern_turkey, western_turkey"
corsica,Corsica,medit2,france,france,france,france,france,france,france,corsica,0,colony,2,4000,-1,-1,0,0,0,2.5,0125000002,2,
cyprus,Cyprus,medit,britain,britain,britain,britain,britain,britain,britain,cyprus,0,colony,3,25000,-1,-1,0,0,0,6,0125000002,3,
gibraltar,Gibraltar,medit2,britain,britain,britain,britain,britain,britain,britain,gibraltar,0,colony,0.400000006,35000,-1,-1,0,0,0,2.5,0125000002,2,southern_spain
palestine,Palestine,medit,greece,greece,greece,greece,britain,britain,britain,palestine,0,colony,4,40000,-1,-1,0,0,0,12,00999999978,3,"lebanon, north_egypt, syria, transjordania"
northwest_italy,Northwest Italy,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,21,120000,-1,1925,5,200,100,7,0299999993,2,"central_italy, northeast_italy, southern_france, switzerland"
lebanon,Lebanon,medit,greece,greece,greece,greece,france,france,france,lebanon,0,colony,3,15000,-1,-1,0,0,0,7,0125000002,3,"palestine, syria"
sardinia,Sardinia,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,4,15000,-1,-1,0,0,0,2.5,0125000002,2,
western_sicily,Western Sicily,medit2,italy,italy,italy,italy,italy,italy,italy,italy,1,home,5,25000,-1,-1,0,0,0,2.5,0299999993,2,eastern_sicily
southern_spain,Southern Spain,medit2,spain,spain,spain,spain,spain,spain,spain,spain,1,home,10,85000,-1,-1,0,0,0,2.5,0299999993,2,"gibraltar, northern_spain, portugal, southern_france, western_france, western_spain"
southern_france,Southern France,medit2,france,france,france,france,france,france,france,france,1,home,30,75000,-1,-1,0,0,0,2.5,0299999993,2,"northern_france, northwest_italy, southern_spain, switzerland, western_france"
syria,Syria,medit,greece,greece,greece,greece,france,france,france,syria,0,colony,5,20000,-1,1930,4,400,100,10,0299999993,3,"eastern_turkey, iraq, lebanon, palestine, southern_turkey, transjordania"
southern_turkey,Southern Turkey,medit,greece,greece,greece,greece,greece,greece,greece,greece,1,home,6,45000,-1,-1,0,0,0,7,0.119999997,2,"eastern_turkey, northern_turkey, syria, western_turkey"
bermuda,Bermuda,n_am_east,britain,britain,britain,britain,britain,britain,britain,bermuda,0,colony,1.39999998,10000,-1,-1,0,0,0,2.5,0125000002,2,
eastern_usa,Eastern USA,n_am_east,usa,usa,usa,usa,usa,usa,usa,usa,1,home,30,120000,-1,1890,100,950,350,2.5,0299999993,2,"canadian_prairies, central_canada, central_usa, maine, southeastern_seaboard"
maine,Maine,n_am_east,usa,usa,usa,usa,usa,usa,usa,usa,1,home,5,30000,-1,-1,0,0,0,2.5,0299999993,2,"canadian_prairies, central_canada, eastern_usa, new_brunswick"
new_brunswick,New Brunswick,n_am_east,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,5,30000,-1,-1,0,0,0,2.5,0125000002,2,"canadian_prairies, central_canada, maine, nova_scotia"
nova_scotia,Nova Scotia,n_am_east,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,5,35000,-1,-1,0,0,0,2.5,0125000002,2,new_brunswick
southeastern_seaboard,Southeastern Seaboard,n_am_east,usa,usa,usa,usa,usa,usa,usa,usa,1,home,30,120000,-1,1890,100,950,500,2.5,0125000002,2,"central_usa, eastern_usa, gulf_coast"
british_columbia,British Columbia,alaska_gulf,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,5,25000,-1,-1,0,0,0,2.5,0125000002,2,"canadian_prairies, central_usa, eastern_aleutians, northern_canada, southern_alaska, western_usa"
eastern_aleutians,Eastern Aleutians,alaska_gulf,usa,usa,usa,usa,usa,usa,usa,eastern_aleutians,0,colony,1.5,20000,-1,1925,2,400,100,2.5,0125000002,2,"british_columbia, southern_alaska"
hawaii,Hawaii,s_pacific,usa,usa,usa,usa,usa,usa,usa,hawaii,0,colony,1,20000,-1,-1,0,0,0,2.5,0125000002,2,
western_usa,Western USA,n_am_west,usa,usa,usa,usa,usa,usa,usa,usa,1,home,30,120000,-1,1930,5,1250,500,2.5,0125000002,2,"british_columbia, canadian_prairies, central_usa, gulf_coast, northeast_mexico, western_mexico"
latvia,Latvia,baltic,russia,russia,russia,russia,russia,russia,russia,latvia,1,home,3,120000,-1,-1,0,0,0,5,0299999993,2,"belarus, central_russia, esthonia, lithuania, northern_russia"
lithuania,Lithuania,baltic,russia,russia,russia,russia,russia,russia,russia,lithuania,1,home,3,120000,-1,-1,0,0,0,5,0299999993,2,"belarus, latvia, prussia"
prussia,Prussia,baltic,germany,germany,germany,germany,germany,germany,germany,poland,1,home,10,180000,-1,1925,2,400,100,5,0299999993,3,"eastern_poland, lithuania, poland"
central_russia,Central Russia,baltic,russia,russia,russia,russia,russia,russia,russia,russia,1,home,12,150000,-1,1925,15,2500,2500,7,0299999993,3,"belarus, esthonia, kazakhstan, latvia, northern_russia, siberian_russia, southern_finland, southern_russia, ukraine"
southern_russia,Southern Russia,b_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,12,150000,-1,1890,100,500,1500,7,0299999993,2,"azerbaijan, central_russia, georgia, kazakhstan, northern_russia, ukraine"
belgium,Belgium,n_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,belgium,0,home,11,45000,-1,-1,0,0,0,2.5,0199999996,2,"luxembourg, netherlands, northern_france, western_germany"
eastern_germany,Eastern Germany,baltic,germany,germany,germany,germany,germany,germany,germany,germany,1,home,34,180000,-1,1925,5,500,100,7,0299999993,3,"bohemia-moravia, denmark, eastern_denmark, poland, southern_germany, western_denmark, western_germany"
western_germany,Western Germany,n_sea,germany,germany,germany,germany,germany,germany,germany,germany,1,home,42,100000,-1,1890,100,800,1500,7,0299999993,3,"belgium, eastern_denmark, eastern_germany, luxembourg, netherlands, southern_germany, western_denmark"
netherlands,Netherlands,n_sea,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,netherlands,1,home,17,40000,-1,-1,0,0,0,7,0299999993,3,"belgium, western_germany"
heligoland,Heligoland,n_sea,germany,germany,germany,germany,germany,germany,germany,heligoland,0,colony,1,25000,-1,-1,0,0,0,2.5,0125000002,3,
scotland,Scotland,n_sea,britain,britain,britain,britain,britain,britain,britain,scotland,1,home,35,130000,-1,-1,0,0,0,7,0500000007,2,"north_east_england, north_west_england"
north_west_england,Northwest England,irish_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,30,120000,-1,1890,100,200,300,7,0299999993,2,"eastern_england, north_east_england, scotland, wales"
north_east_england,Northeast England,n_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,30,120000,-1,1890,100,300,300,7,0299999993,2,"eastern_england, north_west_england, scotland"
eastern_england,Eastern England,n_sea,britain,britain,britain,britain,britain,britain,britain,britain,1,home,30,120000,-1,1890,100,550,500,7,0299999993,2,"north_east_england, north_west_england, southern_england, wales"
southern_england,Southern England,english_channel,britain,britain,britain,britain,britain,britain,britain,britain,1,home,50,120000,-1,1895,100,750,500,7,0299999993,2,"eastern_england, wales"
northern_france,Northern France,english_channel,france,france,france,france,france,france,france,france,1,home,40,95000,-1,1890,100,400,500,7,0299999993,2,"belgium, luxembourg, southern_france, southern_germany, switzerland, western_france"
wales,Wales,irish_sea,britain,britain,britain,britain,britain,britain,britain,wales,1,home,25,25000,-1,-1,0,0,0,7,0299999993,2,"eastern_england, north_west_england, southern_england"
western_france,Western France,biscaic,france,france,france,france,france,france,france,france,1,home,31,100000,-1,-1,0,0,0,7,0299999993,2,"northern_france, northern_spain, southern_france, southern_spain"
ireland,Ireland,irish_sea,britain,britain,britain,britain,britain,britain,britain,ireland,1,colony,19,55000,-1,-1,0,0,0,15,0299999993,2,
northern_spain,Northern Spain,biscaic,spain,spain,spain,spain,spain,spain,spain,spain,1,home,10,80000,-1,1930,5,400,300,7,0299999993,2,"portugal, southern_spain, western_france, western_spain"
western_spain,Western Spain,n_atlantic,spain,spain,spain,spain,spain,spain,spain,spain,1,home,8,65000,-1,-1,0,0,0,7,0299999993,2,"northern_spain, portugal, southern_spain"
portugal,Portugal,n_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,portugal,1,home,5,95000,-1,-1,0,0,0,15,0350000001,3,"northern_spain, southern_spain, western_spain"
azores,Azores,n_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,azores,1,colony,1,20000,-1,-1,0,0,0,2.5,0125000002,2,
madeira,Madeira,n_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,madeira,1,home,1.25,7000,-1,-1,0,0,0,2.5,0125000002,2,
morocco,Morocco,n_atlantic,spain,spain,spain,spain,france,france,france,morocco,0,country,5,20000,-1,1920,5,325,200,15,0125000002,2,"northern_algeria, southern_algeria, western_sahara"
western_sahara,Western Sahara,n_atlantic,spain,spain,spain,spain,spain,spain,spain,western_sahara,0,colony,2.5,10000,-1,-1,0,0,0,10,0125000002,2,"mauritania, morocco, southern_algeria"
canary_islands,Canary Islands,n_atlantic,spain,spain,spain,spain,spain,spain,spain,canary_islands,0,colony,2.9000001,12000,-1,-1,0,0,0,2.5,0125000002,2,
iceland,Iceland,denmark_strait,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,iceland,0,colony,2,8000,-1,1925,2,300,100,2.5,0125000002,2,
kamchatka,Kamchatka,ne_asia,russia,russia,russia,russia,russia,russia,russia,kamchatka,0,colony,4,30000,-1,1925,2,300,100,7,0125000002,2,"eastern_siberia, southern_siberia"
kiautschou_bay,Kiautschou Bay,yellow_sea,germany,germany,germany,germany,china,china,japan,china,1,colony,4,30000,-1,1925,2,30,100,7,0125000002,2,"northeast_china, weihaiwei"
